Nx,Ny,dx,dy,dt,Nt,T,runtime_sec,min_U,max_U,mean_U,Exact_Relative_L2_Error
41,41,0.75,0.75,0.01,300,3.0,0.06776750000062748,4.440573353862477e-06,0.9999715433363057,0.6438755756975032,0.0012445819119262904
61,61,0.5,0.5,0.01,300,3.0,0.1281483999991906,4.440573353862477e-06,0.9999715433363057,0.6448271169244818,0.0012267864111134117
81,81,0.375,0.375,0.01,300,3.0,0.18962509999983013,4.440573353862477e-06,0.9999715433363057,0.6453104196397574,0.001222804313180718
