Nx,Ny,dx,dy,dt,dt_ref,Nt,T,runtime_sec,Reference_Relative_L2_Error,Observed_Time_Order
81,81,0.375,0.375,0.01,0.00125,300,3.0,0.17575249999936204,0.001060079814535945,1.2195426238047082
81,81,0.375,0.375,0.005,0.00125,600,3.0,0.37759119999827817,0.00045521823883121367,1.5835340480888709
81,81,0.375,0.375,0.0025,0.00125,1200,3.0,0.8149828999994497,0.00015188972877591385,
