dim,method,Nx,dx,dt,dt_ref,Nt,T,runtime_sec,Reference_Relative_L2_Error,Observed_Time_Order
1D,forward_euler,201,0.1999999999999993,0.02,0.00125,500,10.0,0.03948280000258819,0.0054078891314747034,1.1136802635292251
1D,forward_euler,201,0.1999999999999993,0.01,0.00125,1000,10.0,0.0822970000008354,0.0024990596046856493,1.2295867329942372
1D,forward_euler,201,0.1999999999999993,0.005,0.00125,2000,10.0,0.1602375000002212,0.0010656979384155293,1.588589411819072
1D,forward_euler,201,0.1999999999999993,0.0025,0.00125,4000,10.0,0.29778580000129296,0.0003543407188483046,
