dim,method,Nx,Ny,dx,dy,dt,Nt,T,runtime_sec,stability_safe,min_U,max_U,mean_U,Exact_Relative_L2_Error
2D,forward_euler,121,121,0.25,0.25,0.01,300,3.0,0.3334248999999545,True,4.440573353862477e-06,0.9999715433363057,0.6457988428419837,0.0012215968856009575
2D,forward_euler,121,121,0.25,0.25,0.005,600,3.0,0.668626899998344,True,4.440573353862477e-06,0.9999715433363057,0.645993429850927,0.0006143906063442985
2D,forward_euler,121,121,0.25,0.25,0.0025,1200,3.0,1.3297781000001123,True,4.440573353862477e-06,0.9999715433363057,0.6460911225499764,0.0003100044516959517
2D,forward_euler,121,121,0.25,0.25,0.00125,2400,3.0,2.786904600001435,True,4.440573353862477e-06,0.9999715433363057,0.6461400692173476,0.00015781497156860534
