dim,method,Nx,Ny,dx,dy,dt,Nt,T,runtime_sec,stability_safe,min_U,max_U,mean_U,Exact_Relative_L2_Error
2D,rk4,41,41,0.75,0.75,0.01,300,3.0,0.19327879999764264,True,4.440573353862477e-06,0.9999715433363057,0.6442523860341192,0.00013081027791666646
2D,rk4,61,61,0.5,0.5,0.01,300,3.0,0.32331600000179606,True,4.440573353862477e-06,0.9999715433363057,0.6452106741723374,5.865379713178404e-05
2D,rk4,81,81,0.375,0.375,0.01,300,3.0,0.48329519999970216,True,4.440573353862477e-06,0.9999715433363057,0.6456973249885496,3.313375340196999e-05
