dim,method,Nx,dx,dt,Nt,T,runtime_sec,stability_safe,min_u,max_u,mean_u,AZ_Relative_L2_Error
1D,rk4,201,0.1999999999999993,0.02,500,10.0,0.0975914999980887,True,0.2937561175810623,0.9999998632555613,0.9330454341571229,0.00010077291445476787
1D,rk4,201,0.1999999999999993,0.01,1000,10.0,0.209065200000623,True,0.2937561175810623,0.9999998632555613,0.9330454340340985,0.00010077403955966329
1D,rk4,201,0.1999999999999993,0.005,2000,10.0,0.44070730000021285,True,0.2937561175810626,0.9999998632555613,0.9330454340357786,0.00010077411067819195
1D,rk4,201,0.1999999999999993,0.0025,4000,10.0,0.8541293999987829,True,0.2937561175810623,0.9999998632555613,0.9330454340360979,0.00010077411514253659
