dim,method,Nx,dx,dt,Nt,T,runtime_sec,min_u,max_u,mean_u,AZ_Relative_L2_Error
1D,rk4,101,0.3999999999999986,0.005,2000,10.0,0.5216809999983525,0.2937561175810626,0.9999998632555613,0.9317211286001694,0.000401182942737771
1D,rk4,201,0.1999999999999993,0.005,2000,10.0,0.4953397999997833,0.2937561175810626,0.9999998632555613,0.9330454340357786,0.00010077411067819195
1D,rk4,401,0.10000000000000142,0.005,2000,10.0,0.5298189999994065,0.2937561175810626,0.9999998632555613,0.9337356319536042,2.5233155934673225e-05
