Nx,Ny,dx,dy,dt,Nt,T,runtime_sec,min_U,max_U,mean_U,Exact_Relative_L2_Error
121,121,0.25,0.25,0.02,150,3.0,0.5903397999973095,4.440573353862477e-06,0.9999715433363057,0.6461890827991159,1.47876271212521e-05
121,121,0.25,0.25,0.01,300,3.0,1.0512200000011944,4.440573353862477e-06,0.9999715433363057,0.6461890829524987,1.4787625808973003e-05
121,121,0.25,0.25,0.005,600,3.0,1.9769124999984342,4.440573353862477e-06,0.9999715433363057,0.6461890829617164,1.4787626072176211e-05
121,121,0.25,0.25,0.0025,1200,3.0,3.9082960999985517,4.440573353862477e-06,0.9999715433363057,0.6461890829622833,1.478762608706451e-05
