dim,method,Nx,dx,dt,dt_ref,Nt,T,runtime_sec,Reference_Relative_L2_Error,Observed_Time_Order
1D,rk4,201,0.1999999999999993,0.02,0.00125,500,10.0,0.11051990000123624,2.5688879420684932e-08,4.574239348122584
1D,rk4,201,0.1999999999999993,0.01,0.00125,1000,10.0,0.21693099999902188,1.078355379272455e-09,4.247399490660694
1D,rk4,201,0.1999999999999993,0.005,0.00125,2000,10.0,0.4317714999997406,5.677632246751474e-11,4.206841426752923
1D,rk4,201,0.1999999999999993,0.0025,0.00125,4000,10.0,0.8751249999986612,3.0745517148267583e-12,
