Nx,dx,dt,Nt,runtime_sec,AZ_Relative_L2_Error,TimeRef_dt,TimeRef_Relative_L2_Error,Observed_Time_Order
201,0.1999999999999993,0.02,500,0.42450190000090515,0.005632336791291612,0.00125,0.005178453338481123,nan
201,0.1999999999999993,0.01,1000,0.8568768000004638,0.0028956072336465493,0.00125,0.0024420856911490946,1.0844074445213956
201,0.1999999999999993,0.005,2000,1.7168786999973236,0.0015053695331019863,0.00125,0.0010520299698788566,1.2149380201842126
201,0.1999999999999993,0.0025,4000,3.5306707999989158,0.0008048290089555706,0.00125,0.0003515769267692866,1.5812635064746523
